PHP Load Test Started
Concurrent Users: 100
Total Requests: 5000

Round 2 | User #6 | HTTP: 200 | Time: 126.04ms
Round 2 | User #7 | HTTP: 200 | Time: 126.23ms
Round 2 | User #8 | HTTP: 200 | Time: 126.44ms
Round 2 | User #9 | HTTP: 200 | Time: 126.68ms
Round 2 | User #10 | HTTP: 200 | Time: 126.84ms
Round 2 | User #11 | HTTP: 200 | Time: 126.99ms
Round 2 | User #12 | HTTP: 200 | Time: 127.14ms
Round 2 | User #13 | HTTP: 200 | Time: 127.28ms
Round 2 | User #14 | HTTP: 200 | Time: 127.42ms
Round 2 | User #15 | HTTP: 200 | Time: 127.56ms
Round 2 | User #16 | HTTP: 200 | Time: 127.71ms
Round 2 | User #17 | HTTP: 200 | Time: 127.84ms
Round 2 | User #18 | HTTP: 200 | Time: 128.01ms
Round 2 | User #19 | HTTP: 200 | Time: 128.15ms
Round 2 | User #20 | HTTP: 200 | Time: 128.31ms
Round 2 | User #21 | HTTP: 200 | Time: 128.47ms
Round 2 | User #22 | HTTP: 200 | Time: 128.62ms
Round 2 | User #23 | HTTP: 200 | Time: 128.74ms
Round 2 | User #24 | HTTP: 200 | Time: 128.87ms
Round 2 | User #25 | HTTP: 200 | Time: 129.01ms
Round 2 | User #26 | HTTP: 200 | Time: 129.15ms
Round 2 | User #27 | HTTP: 200 | Time: 129.29ms
Round 2 | User #28 | HTTP: 200 | Time: 129.46ms
Round 2 | User #29 | HTTP: 200 | Time: 129.61ms
Round 2 | User #30 | HTTP: 200 | Time: 129.82ms
Round 2 | User #31 | HTTP: 200 | Time: 129.96ms
Round 2 | User #32 | HTTP: 200 | Time: 130.1ms
Round 2 | User #33 | HTTP: 200 | Time: 130.23ms
Round 2 | User #34 | HTTP: 200 | Time: 130.38ms
Round 2 | User #35 | HTTP: 200 | Time: 130.55ms
Round 2 | User #36 | HTTP: 200 | Time: 130.71ms
Round 2 | User #37 | HTTP: 200 | Time: 130.86ms
Round 2 | User #38 | HTTP: 200 | Time: 131.02ms
Round 2 | User #39 | HTTP: 200 | Time: 131.16ms
Round 2 | User #40 | HTTP: 200 | Time: 131.34ms
Round 2 | User #41 | HTTP: 200 | Time: 131.52ms
Round 2 | User #42 | HTTP: 200 | Time: 131.66ms
Round 2 | User #43 | HTTP: 200 | Time: 131.8ms
Round 2 | User #44 | HTTP: 200 | Time: 131.94ms
Round 2 | User #45 | HTTP: 200 | Time: 132.08ms
Round 2 | User #46 | HTTP: 200 | Time: 132.22ms
Round 2 | User #47 | HTTP: 200 | Time: 132.35ms
Round 2 | User #48 | HTTP: 200 | Time: 132.53ms
Round 2 | User #49 | HTTP: 200 | Time: 132.67ms
Round 2 | User #50 | HTTP: 200 | Time: 132.8ms
Round 2 | User #51 | HTTP: 200 | Time: 132.94ms
Round 2 | User #52 | HTTP: 200 | Time: 133.08ms
Round 2 | User #53 | HTTP: 200 | Time: 133.22ms
Round 2 | User #54 | HTTP: 200 | Time: 133.36ms
Round 2 | User #55 | HTTP: 200 | Time: 133.5ms
Round 2 | User #56 | HTTP: 200 | Time: 133.64ms
Round 2 | User #57 | HTTP: 200 | Time: 133.8ms
Round 2 | User #58 | HTTP: 200 | Time: 133.94ms
Round 2 | User #59 | HTTP: 200 | Time: 134.08ms
Round 2 | User #60 | HTTP: 200 | Time: 134.22ms
Round 2 | User #61 | HTTP: 200 | Time: 134.39ms
Round 2 | User #62 | HTTP: 200 | Time: 134.56ms
Round 2 | User #63 | HTTP: 200 | Time: 134.7ms
Round 2 | User #64 | HTTP: 200 | Time: 134.86ms
Round 2 | User #65 | HTTP: 200 | Time: 135ms
Round 2 | User #66 | HTTP: 200 | Time: 135.15ms
Round 2 | User #67 | HTTP: 200 | Time: 135.29ms
Round 2 | User #68 | HTTP: 200 | Time: 135.44ms
Round 2 | User #69 | HTTP: 200 | Time: 135.63ms
Round 2 | User #70 | HTTP: 200 | Time: 135.78ms
Round 2 | User #71 | HTTP: 200 | Time: 135.92ms
Round 2 | User #72 | HTTP: 200 | Time: 136.12ms
Round 2 | User #73 | HTTP: 200 | Time: 136.27ms
Round 2 | User #74 | HTTP: 200 | Time: 136.41ms
Round 2 | User #75 | HTTP: 200 | Time: 136.62ms
Round 2 | User #76 | HTTP: 200 | Time: 136.82ms
Round 2 | User #77 | HTTP: 200 | Time: 137.02ms
Round 2 | User #78 | HTTP: 200 | Time: 137.2ms
Round 2 | User #79 | HTTP: 200 | Time: 137.37ms
Round 2 | User #80 | HTTP: 200 | Time: 137.55ms
Round 2 | User #81 | HTTP: 200 | Time: 137.7ms
Round 2 | User #82 | HTTP: 200 | Time: 137.88ms
Round 2 | User #83 | HTTP: 200 | Time: 138.03ms
Round 2 | User #84 | HTTP: 200 | Time: 138.18ms
